"spp_name","trait_name","value","unit","comment","kind","source"
"Alchorneopsis floribunda","Seed Dry Mass",92.97396054,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchorneopsis floribunda","SLA",35.14165928,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchorneopsis floribunda","Leaf area",6648.597604,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchornea latifolia","Plant height (maximum)",7.409689339,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchornea latifolia","Leaf nitrogen concentration",22.76669555,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchornea latifolia","Wood Density",0.540380912,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchornea latifolia","Leaf phosphorous concentration",1.589644457,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchornea latifolia","Leaf Dry Matter Content",0.329837477,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchornea latifolia","Seed Dry Mass",36.82137482,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchornea latifolia","SLA",19.03268238,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Alchornea latifolia","Leaf area",2579.882936,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hevea brasiliensis","Plant height (maximum)",18.18025624,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hevea brasiliensis","Leaf nitrogen concentration",24.6093419,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hevea brasiliensis","Wood Density",0.562470824,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hevea brasiliensis","Leaf phosphorous concentration",0.981747943,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hevea brasiliensis","Leaf Dry Matter Content",0.329609712,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hevea brasiliensis","Seed Dry Mass",57.2664155,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hevea brasiliensis","SLA",15.70001257,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Hevea brasiliensis","Leaf area",8790.225168,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cnidoscolus aconitifolius","Plant height (maximum)",7.493763796,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cnidoscolus aconitifolius","Leaf nitrogen concentration",32.77177768,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cnidoscolus aconitifolius","Wood Density",0.441570447,NA,"Stem specific density (SSD)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cnidoscolus aconitifolius","Leaf phosphorous concentration",3.484175319,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cnidoscolus aconitifolius","Leaf Dry Matter Content",0.294645627,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cnidoscolus aconitifolius","Seed Dry Mass",234.3689099,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cnidoscolus aconitifolius","SLA",36.91475582,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Cnidoscolus aconitifolius","Leaf area",1283.80777,NA,"Leaf area (in case of compound leaves: leaflet, petiole and rachis excluded)","imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
"Codiaeum variegatum","Plant height (maximum)",12.42796438,NA,NA,"imputed using Bayesian hierarchical probabilistic matrix factorization","Guo et al. (2022)"
