Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
Iteration	Posterior	Likelihood	Prior	interval_times[1]	interval_times[2]	interval_times[3]	interval_times[4]	interval_times[5]	interval_times[6]	interval_times[7]	interval_times[8]	interval_times[9]
1020	-1573.912	-1625.069	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1030	-1573.935	-1625.092	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1030	-1573.935	-1625.092	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1040	-1574.967	-1626.125	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1040	-1574.967	-1626.125	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1050	-1574.077	-1625.235	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1050	-1574.077	-1625.235	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1060	-1573.993	-1625.151	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1060	-1573.993	-1625.151	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1070	-1574.167	-1625.325	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1070	-1574.167	-1625.325	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1080	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1080	-1573.989	-1625.147	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1090	-1573.992	-1625.15	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1090	-1573.992	-1625.15	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1100	-1573.913	-1625.071	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1100	-1573.913	-1625.071	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
1110	-1574.159	-1625.317	51.15772	65.0917	130.183	195.275	260.367	325.458	390.55	455.642	520.733	585.825
